team            contact
Auquan          Jarad Niemi
BPagano         Serena Wang
Caltech         Estee Cramer
CEID            Dasuni Jayawardena
Columbia_UNC    Serena Wang
CovidActNow     Nick Reich
Covid19SimCons  Jarad Niemi
CDDEP           Estee Cramer
CMU             Estee Cramer
CU              Nick Reich
DDS             Estee Cramer
DeepCOVID       Jarad Niemi
epiforecasts    Estee Cramer
ERDC            Nick Reich
FAIR            Estee Cramer
Geneva          Johannes Bracher
Google_Harvard  Estee Cramer
GT_CHHS         Abdul Hannan Kanji
IBF             Estee Cramer
IHME            Nick Reich
Imperial        Nick Reich
IowaStateLW     Jarad Niemi
IQVIA ACOE.     Estee Cramer
ISUandPKU       Jarad Niemi
JCB             Estee Cramer
JHU_CSSE        Serena Wang
JHU_IDD         Nick Reich
JHU_UNC_GAS     Ariane Stark
JHUAPL          Estee Cramer
Karlen          Estee Cramer
LANL            Nick Reich
MIT             Jarad Niemi
MIT_CritData	Serena Wang
MOBS            Nick Reich
MSRA            Serena Wang
NotreDame       Jarad Niemi
OliverWyman     Abdul Hannan Kanji
OneQuietNight   Ariane Stark
PandemicCentral Dasuni Jayawardena
PSI             Jarad Niemi
QJHong          Serena Wang
RobertWalraven  Serena Wang
RPI-UW          Serena Wang
SteveMcConnell  Estee Cramer
SWC             Jarad Niemi
STH             Serena Wang
TTU.            Estee Cramer
UA              Jarad Niemi
UCF             Estee Cramer
UChicago        Jarad Niemi
UChicagoCHAT    Ariane Stark
UCLA            Jarad Niemi
UCM_MESALab     Estee Cramer
UCSB            Ariane Stark
UMass           Nick Reich
UM_CFG          Estee Cramer
USC             Serena Wang
UCSD_NEU        Estee Cramer
UT              Jarad Niemi
UVA             Serena Wang
WalmartLabs     Serena Wang  
Yu_Group-CLEP   Dasuni Jayawardena
YYG             Jarad Niemi
