target,location,forecast_date,target_end_date,quantile,value,type,model_type
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.01,0,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.025,1.475,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.05,2,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.1,4,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.15,4,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.2,4,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.25,4.75,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.3,5,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.35,5,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.4,6,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.45,6,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.5,6,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.55,7,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.6,7,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.65,7,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.7,7.300000000000011,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.75,8,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.8,9,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.85,9,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.9,10.100000000000009,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.95,11,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.975,12,quantile,site-level infection dynamics
1 day ahead inc hosp,02,2024-02-05,2024-02-06,0.99,13,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.01,1.99,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.025,2,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.05,3,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.1,4,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.15,4,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.2,5,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.25,5,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.3,6,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.35,6,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.4,7,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.45,7,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.5,8,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.55,8,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.6,8,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.65,9,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.7,9,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.75,9,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.8,10,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.85,11,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.9,11.100000000000009,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.95,13.049999999999997,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.975,15.524999999999991,quantile,site-level infection dynamics
2 day ahead inc hosp,02,2024-02-05,2024-02-07,0.99,16.010000000000005,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.01,0.99,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.025,1,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.05,1,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.1,2,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.15,3,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.2,3,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.25,3,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.3,4,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.35,4,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.4,4.600000000000001,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.45,5,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.5,5,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.55,5,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.6,6,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.65,6,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.7,7,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.75,7,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.8,8,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.85,8,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.9,9,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.95,11,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.975,11,quantile,site-level infection dynamics
3 day ahead inc hosp,02,2024-02-05,2024-02-08,0.99,12,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.01,0,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.025,0.4750000000000001,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.05,1,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.1,1.9000000000000004,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.15,2,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.2,3,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.25,3,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.3,3,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.35,4,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.4,4,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.45,5,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.5,5,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.55,5,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.6,5,quantile,site-level infection dynamics
4 day ahead inc hosp,02,2024-02-05,2024-02-09,0.65,6,quantile,site-level infection dynamics
