location,forecast_date,target_end_date,target,type,quantile,value
US,2021-11-14,2021-11-20,1 wk ahead inc case,point,,668459
US,2021-11-14,2021-11-27,2 wk ahead inc case,point,,801037
US,2021-11-14,2021-12-04,3 wk ahead inc case,point,,949398
US,2021-11-14,2021-12-11,4 wk ahead inc case,point,,1124790
US,2021-11-14,2021-12-18,5 wk ahead inc case,point,,1317183
US,2021-11-14,2021-12-25,6 wk ahead inc case,point,,1330513
US,2021-11-14,2022-01-01,7 wk ahead inc case,point,,1146762
US,2021-11-14,2022-01-08,8 wk ahead inc case,point,,853077
US,2021-11-14,2022-01-15,9 wk ahead inc case,point,,579685
US,2021-11-14,2022-01-22,10 wk ahead inc case,point,,405911
US,2021-11-14,2022-01-29,11 wk ahead inc case,point,,332994
US,2021-11-14,2022-02-05,12 wk ahead inc case,point,,359827
US,2021-11-14,2022-02-12,13 wk ahead inc case,point,,433719
US,2021-11-14,2022-02-19,14 wk ahead inc case,point,,514207
US,2021-11-14,2022-02-26,15 wk ahead inc case,point,,609783
US,2021-11-14,2022-03-05,16 wk ahead inc case,point,,722968
US,2021-11-14,2022-03-12,17 wk ahead inc case,point,,856847
US,2021-11-14,2022-03-19,18 wk ahead inc case,point,,1015063
US,2021-11-14,2022-03-26,19 wk ahead inc case,point,,1201837
US,2021-11-14,2021-11-20,1 wk ahead inc death,point,,4288
US,2021-11-14,2021-11-27,2 wk ahead inc death,point,,5081
US,2021-11-14,2021-12-04,3 wk ahead inc death,point,,6012
US,2021-11-14,2021-12-11,4 wk ahead inc death,point,,6943
US,2021-11-14,2021-12-18,5 wk ahead inc death,point,,7291
US,2021-11-14,2021-12-25,6 wk ahead inc death,point,,6667
US,2021-11-14,2022-01-01,7 wk ahead inc death,point,,5324
US,2021-11-14,2022-01-08,8 wk ahead inc death,point,,3838
US,2021-11-14,2022-01-15,9 wk ahead inc death,point,,2703
US,2021-11-14,2022-01-22,10 wk ahead inc death,point,,2097
US,2021-11-14,2022-01-29,11 wk ahead inc death,point,,1923
US,2021-11-14,2022-02-05,12 wk ahead inc death,point,,1841
US,2021-11-14,2022-02-12,13 wk ahead inc death,point,,1659
US,2021-11-14,2022-02-19,14 wk ahead inc death,point,,1398
US,2021-11-14,2022-02-26,15 wk ahead inc death,point,,1114
US,2021-11-14,2022-03-05,16 wk ahead inc death,point,,850
US,2021-11-14,2022-03-12,17 wk ahead inc death,point,,627
US,2021-11-14,2022-03-19,18 wk ahead inc death,point,,453
US,2021-11-14,2022-03-26,19 wk ahead inc death,point,,322
