,forecast_date,target,target_end_date,location,type,quantile,value
131,2020-06-25,1 wk ahead inc death,2020-07-04,US,point,,2989
132,2020-06-25,2 wk ahead inc death,2020-07-11,US,point,,2442
133,2020-06-25,3 wk ahead inc death,2020-07-18,US,point,,1969
134,2020-06-25,4 wk ahead inc death,2020-07-25,US,point,,1582
135,2020-06-25,5 wk ahead inc death,2020-08-01,US,point,,1320
136,2020-06-25,6 wk ahead inc death,2020-08-08,US,point,,1105
137,2020-06-25,7 wk ahead inc death,2020-08-15,US,point,,961
138,2020-06-25,8 wk ahead inc death,2020-08-22,US,point,,845
139,2020-06-25,9 wk ahead inc death,2020-08-29,US,point,,773
140,2020-06-25,10 wk ahead inc death,2020-09-05,US,point,,715
141,2020-06-25,11 wk ahead inc death,2020-09-12,US,point,,788
142,2020-06-25,12 wk ahead inc death,2020-09-19,US,point,,1018
143,2020-06-25,13 wk ahead inc death,2020-09-26,US,point,,1307
144,2020-06-25,14 wk ahead inc death,2020-10-03,US,point,,1664
145,2020-06-25,15 wk ahead inc death,2020-10-10,US,point,,2082
146,2020-06-25,16 wk ahead inc death,2020-10-17,US,point,,2466
147,2020-06-25,17 wk ahead inc death,2020-10-24,US,point,,2852
148,2020-06-25,18 wk ahead inc death,2020-10-31,US,point,,3109
149,2020-06-25,19 wk ahead inc death,2020-11-07,US,point,,3281
150,2020-06-25,20 wk ahead inc death,2020-11-14,US,point,,3256
282,2020-06-25,1 wk ahead inc death,2020-07-04,48,point,,282
283,2020-06-25,2 wk ahead inc death,2020-07-11,48,point,,333
284,2020-06-25,3 wk ahead inc death,2020-07-18,48,point,,404
285,2020-06-25,4 wk ahead inc death,2020-07-25,48,point,,478
286,2020-06-25,5 wk ahead inc death,2020-08-01,48,point,,547
287,2020-06-25,6 wk ahead inc death,2020-08-08,48,point,,578
288,2020-06-25,7 wk ahead inc death,2020-08-15,48,point,,581
289,2020-06-25,8 wk ahead inc death,2020-08-22,48,point,,537
290,2020-06-25,9 wk ahead inc death,2020-08-29,48,point,,477
291,2020-06-25,10 wk ahead inc death,2020-09-05,48,point,,430
292,2020-06-25,11 wk ahead inc death,2020-09-12,48,point,,440
293,2020-06-25,12 wk ahead inc death,2020-09-19,48,point,,518
294,2020-06-25,13 wk ahead inc death,2020-09-26,48,point,,617
295,2020-06-25,14 wk ahead inc death,2020-10-03,48,point,,746
296,2020-06-25,15 wk ahead inc death,2020-10-10,48,point,,867
297,2020-06-25,16 wk ahead inc death,2020-10-17,48,point,,951
298,2020-06-25,17 wk ahead inc death,2020-10-24,48,point,,984
299,2020-06-25,18 wk ahead inc death,2020-10-31,48,point,,995
300,2020-06-25,19 wk ahead inc death,2020-11-07,48,point,,950
301,2020-06-25,20 wk ahead inc death,2020-11-14,48,point,,847
