,forecast_date,target,target_end_date,location,type,quantile,value
131,2020-06-12,1 wk ahead inc death,2020-06-20,US,point,,5162
132,2020-06-12,2 wk ahead inc death,2020-06-27,US,point,,4577
133,2020-06-12,3 wk ahead inc death,2020-07-04,US,point,,3977
134,2020-06-12,4 wk ahead inc death,2020-07-11,US,point,,3534
135,2020-06-12,5 wk ahead inc death,2020-07-18,US,point,,3114
136,2020-06-12,6 wk ahead inc death,2020-07-25,US,point,,2707
137,2020-06-12,7 wk ahead inc death,2020-08-01,US,point,,2423
138,2020-06-12,8 wk ahead inc death,2020-08-08,US,point,,2172
139,2020-06-12,9 wk ahead inc death,2020-08-15,US,point,,2009
140,2020-06-12,10 wk ahead inc death,2020-08-22,US,point,,1866
141,2020-06-12,11 wk ahead inc death,2020-08-29,US,point,,1790
142,2020-06-12,12 wk ahead inc death,2020-09-05,US,point,,1726
143,2020-06-12,13 wk ahead inc death,2020-09-12,US,point,,1965
144,2020-06-12,14 wk ahead inc death,2020-09-19,US,point,,2605
145,2020-06-12,15 wk ahead inc death,2020-09-26,US,point,,3541
146,2020-06-12,16 wk ahead inc death,2020-10-03,US,point,,4754
147,2020-06-12,17 wk ahead inc death,2020-10-10,US,point,,6204
148,2020-06-12,18 wk ahead inc death,2020-10-17,US,point,,7766
149,2020-06-12,19 wk ahead inc death,2020-10-24,US,point,,8874
150,2020-06-12,20 wk ahead inc death,2020-10-31,US,point,,9145
282,2020-06-12,1 wk ahead inc death,2020-06-20,48,point,,290
283,2020-06-12,2 wk ahead inc death,2020-06-27,48,point,,417
284,2020-06-12,3 wk ahead inc death,2020-07-04,48,point,,615
285,2020-06-12,4 wk ahead inc death,2020-07-11,48,point,,915
286,2020-06-12,5 wk ahead inc death,2020-07-18,48,point,,1234
287,2020-06-12,6 wk ahead inc death,2020-07-25,48,point,,1452
288,2020-06-12,7 wk ahead inc death,2020-08-01,48,point,,1470
289,2020-06-12,8 wk ahead inc death,2020-08-08,48,point,,1278
290,2020-06-12,9 wk ahead inc death,2020-08-15,48,point,,964
291,2020-06-12,10 wk ahead inc death,2020-08-22,48,point,,645
292,2020-06-12,11 wk ahead inc death,2020-08-29,48,point,,410
293,2020-06-12,12 wk ahead inc death,2020-09-05,48,point,,265
294,2020-06-12,13 wk ahead inc death,2020-09-12,48,point,,194
295,2020-06-12,14 wk ahead inc death,2020-09-19,48,point,,168
296,2020-06-12,15 wk ahead inc death,2020-09-26,48,point,,150
297,2020-06-12,16 wk ahead inc death,2020-10-03,48,point,,140
298,2020-06-12,17 wk ahead inc death,2020-10-10,48,point,,131
299,2020-06-12,18 wk ahead inc death,2020-10-17,48,point,,121
300,2020-06-12,19 wk ahead inc death,2020-10-24,48,point,,117
301,2020-06-12,20 wk ahead inc death,2020-10-31,48,point,,113
