,forecast_date,target,target_end_date,location,type,quantile,value
131,2020-06-23,1 wk ahead inc death,2020-07-04,US,point,,2599
132,2020-06-23,2 wk ahead inc death,2020-07-11,US,point,,2005
133,2020-06-23,3 wk ahead inc death,2020-07-18,US,point,,1536
134,2020-06-23,4 wk ahead inc death,2020-07-25,US,point,,1221
135,2020-06-23,5 wk ahead inc death,2020-08-01,US,point,,980
136,2020-06-23,6 wk ahead inc death,2020-08-08,US,point,,818
137,2020-06-23,7 wk ahead inc death,2020-08-15,US,point,,690
138,2020-06-23,8 wk ahead inc death,2020-08-22,US,point,,607
139,2020-06-23,9 wk ahead inc death,2020-08-29,US,point,,541
140,2020-06-23,10 wk ahead inc death,2020-09-05,US,point,,502
141,2020-06-23,11 wk ahead inc death,2020-09-12,US,point,,538
142,2020-06-23,12 wk ahead inc death,2020-09-19,US,point,,675
143,2020-06-23,13 wk ahead inc death,2020-09-26,US,point,,879
144,2020-06-23,14 wk ahead inc death,2020-10-03,US,point,,1150
145,2020-06-23,15 wk ahead inc death,2020-10-10,US,point,,1494
146,2020-06-23,16 wk ahead inc death,2020-10-17,US,point,,1924
147,2020-06-23,17 wk ahead inc death,2020-10-24,US,point,,2439
148,2020-06-23,18 wk ahead inc death,2020-10-31,US,point,,2923
149,2020-06-23,19 wk ahead inc death,2020-11-07,US,point,,3396
150,2020-06-23,20 wk ahead inc death,2020-11-14,US,point,,3692
282,2020-06-23,1 wk ahead inc death,2020-07-04,48,point,,299
283,2020-06-23,2 wk ahead inc death,2020-07-11,48,point,,366
284,2020-06-23,3 wk ahead inc death,2020-07-18,48,point,,443
285,2020-06-23,4 wk ahead inc death,2020-07-25,48,point,,522
286,2020-06-23,5 wk ahead inc death,2020-08-01,48,point,,592
287,2020-06-23,6 wk ahead inc death,2020-08-08,48,point,,619
288,2020-06-23,7 wk ahead inc death,2020-08-15,48,point,,613
289,2020-06-23,8 wk ahead inc death,2020-08-22,48,point,,558
290,2020-06-23,9 wk ahead inc death,2020-08-29,48,point,,487
291,2020-06-23,10 wk ahead inc death,2020-09-05,48,point,,432
292,2020-06-23,11 wk ahead inc death,2020-09-12,48,point,,433
293,2020-06-23,12 wk ahead inc death,2020-09-19,48,point,,500
294,2020-06-23,13 wk ahead inc death,2020-09-26,48,point,,587
295,2020-06-23,14 wk ahead inc death,2020-10-03,48,point,,698
296,2020-06-23,15 wk ahead inc death,2020-10-10,48,point,,802
297,2020-06-23,16 wk ahead inc death,2020-10-17,48,point,,873
298,2020-06-23,17 wk ahead inc death,2020-10-24,48,point,,901
299,2020-06-23,18 wk ahead inc death,2020-10-31,48,point,,914
300,2020-06-23,19 wk ahead inc death,2020-11-07,48,point,,880
301,2020-06-23,20 wk ahead inc death,2020-11-14,48,point,,795
