,forecast_date,target,target_end_date,location,type,quantile,value
131,2020-06-13,1 wk ahead inc death,2020-06-20,US,point,,5162
132,2020-06-13,2 wk ahead inc death,2020-06-27,US,point,,4577
133,2020-06-13,3 wk ahead inc death,2020-07-04,US,point,,3977
134,2020-06-13,4 wk ahead inc death,2020-07-11,US,point,,3534
135,2020-06-13,5 wk ahead inc death,2020-07-18,US,point,,3114
136,2020-06-13,6 wk ahead inc death,2020-07-25,US,point,,2707
137,2020-06-13,7 wk ahead inc death,2020-08-01,US,point,,2423
138,2020-06-13,8 wk ahead inc death,2020-08-08,US,point,,2172
139,2020-06-13,9 wk ahead inc death,2020-08-15,US,point,,2009
140,2020-06-13,10 wk ahead inc death,2020-08-22,US,point,,1866
141,2020-06-13,11 wk ahead inc death,2020-08-29,US,point,,1790
142,2020-06-13,12 wk ahead inc death,2020-09-05,US,point,,1726
143,2020-06-13,13 wk ahead inc death,2020-09-12,US,point,,1965
144,2020-06-13,14 wk ahead inc death,2020-09-19,US,point,,2605
145,2020-06-13,15 wk ahead inc death,2020-09-26,US,point,,3541
146,2020-06-13,16 wk ahead inc death,2020-10-03,US,point,,4754
147,2020-06-13,17 wk ahead inc death,2020-10-10,US,point,,6204
148,2020-06-13,18 wk ahead inc death,2020-10-17,US,point,,7766
149,2020-06-13,19 wk ahead inc death,2020-10-24,US,point,,8874
150,2020-06-13,20 wk ahead inc death,2020-10-31,US,point,,9145
282,2020-06-13,1 wk ahead inc death,2020-06-20,48,point,,287
283,2020-06-13,2 wk ahead inc death,2020-06-27,48,point,,413
284,2020-06-13,3 wk ahead inc death,2020-07-04,48,point,,610
285,2020-06-13,4 wk ahead inc death,2020-07-11,48,point,,908
286,2020-06-13,5 wk ahead inc death,2020-07-18,48,point,,1226
287,2020-06-13,6 wk ahead inc death,2020-07-25,48,point,,1445
288,2020-06-13,7 wk ahead inc death,2020-08-01,48,point,,1466
289,2020-06-13,8 wk ahead inc death,2020-08-08,48,point,,1278
290,2020-06-13,9 wk ahead inc death,2020-08-15,48,point,,966
291,2020-06-13,10 wk ahead inc death,2020-08-22,48,point,,648
292,2020-06-13,11 wk ahead inc death,2020-08-29,48,point,,412
293,2020-06-13,12 wk ahead inc death,2020-09-05,48,point,,267
294,2020-06-13,13 wk ahead inc death,2020-09-12,48,point,,197
295,2020-06-13,14 wk ahead inc death,2020-09-19,48,point,,170
296,2020-06-13,15 wk ahead inc death,2020-09-26,48,point,,152
297,2020-06-13,16 wk ahead inc death,2020-10-03,48,point,,142
298,2020-06-13,17 wk ahead inc death,2020-10-10,48,point,,133
299,2020-06-13,18 wk ahead inc death,2020-10-17,48,point,,124
300,2020-06-13,19 wk ahead inc death,2020-10-24,48,point,,119
301,2020-06-13,20 wk ahead inc death,2020-10-31,48,point,,115
