forecast_date,target,target_end_date,location,type,quantile,value
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.01,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.01,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.01,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.01,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.025,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.025,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.025,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.025,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.05,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.05,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.05,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.05,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.1,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.1,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.1,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.1,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.15,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.15,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.15,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.15,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.2,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.2,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.2,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.2,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.25,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.25,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.25,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.25,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.3,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.3,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.3,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.3,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.35,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.35,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.35,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.35,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.4,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.4,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.4,0
2021-10-04,4 wk ahead cum death,2021-10-30,60,quantile,0.4,0
2021-10-04,1 wk ahead cum death,2021-10-09,60,quantile,0.45,0
2021-10-04,2 wk ahead cum death,2021-10-16,60,quantile,0.45,0
2021-10-04,3 wk ahead cum death,2021-10-23,60,quantile,0.45,0
