timezero,unit,target,value
2020-03-16,US,1 wk ahead cum death,482
2020-03-15,US,1 wk ahead cum death,482
2020-03-09,US,2 wk ahead cum death,482
2020-03-02,US,3 wk ahead cum death,482
2020-02-24,US,4 wk ahead cum death,482
2020-02-17,US,5 wk ahead cum death,482
2020-02-10,US,6 wk ahead cum death,482
2020-02-03,US,7 wk ahead cum death,482
2020-01-27,US,8 wk ahead cum death,482
2020-01-20,US,9 wk ahead cum death,482
2020-01-13,US,10 wk ahead cum death,482
2020-01-06,US,11 wk ahead cum death,482
2019-12-30,US,12 wk ahead cum death,482
2020-04-06,39,1 wk ahead cum death,332
2020-03-31,39,1 wk ahead cum death,332
2020-04-05,39,1 wk ahead cum death,332
2020-04-01,39,1 wk ahead cum death,332
2020-03-27,39,2 wk ahead cum death,332
2020-03-30,39,2 wk ahead cum death,332
2020-03-29,39,2 wk ahead cum death,332
2020-03-23,39,3 wk ahead cum death,332
2020-03-22,39,3 wk ahead cum death,332
2020-03-16,39,4 wk ahead cum death,332
2020-03-15,39,4 wk ahead cum death,332
2020-03-09,39,5 wk ahead cum death,332
2020-03-02,39,6 wk ahead cum death,332
2020-02-24,39,7 wk ahead cum death,332
2020-02-17,39,8 wk ahead cum death,332
2020-02-10,39,9 wk ahead cum death,332
2020-02-03,39,10 wk ahead cum death,332
2020-01-27,39,11 wk ahead cum death,332
2020-01-20,39,12 wk ahead cum death,332
2020-01-13,39,13 wk ahead cum death,332
2020-01-06,39,14 wk ahead cum death,332
2019-12-30,39,15 wk ahead cum death,332
2020-04-13,39,1 wk ahead cum death,587
2020-04-07,39,1 wk ahead cum death,587
2020-04-08,39,1 wk ahead cum death,587
2020-04-09,39,1 wk ahead cum death,587
2020-04-12,39,1 wk ahead cum death,587
2020-04-05,39,2 wk ahead cum death,587
2020-03-31,39,2 wk ahead cum death,587
2020-04-01,39,2 wk ahead cum death,587
2020-04-06,39,2 wk ahead cum death,587
2020-03-29,39,3 wk ahead cum death,587
2020-03-30,39,3 wk ahead cum death,587
2020-03-27,39,3 wk ahead cum death,587
2020-03-22,39,4 wk ahead cum death,587
2020-03-23,39,4 wk ahead cum death,587
2020-03-15,39,5 wk ahead cum death,587
2020-03-16,39,5 wk ahead cum death,587
2020-03-09,39,6 wk ahead cum death,587
