"","location","location_abbreviation","date","issue_date","reported_inc","imputed_inc","absolute_size","relative_size","reviewers_marked_outlier","num_reviewers_marked_outlier","comments_reviewer1","comments_reviewer2"
"1","US","US",2020-06-27,2020-06-28,5819,4284,1535,0.358309990662932,"MWZ",1,NA,NA
"2","US","US",2020-06-27,2020-07-05,5771,4265,1506,0.353106682297773,"MWZ",1,NA,NA
"3","US","US",2020-06-27,2020-07-12,5771,4265,1506,0.353106682297773,"MWZ",1,NA,NA
"4","US","US",2020-06-27,2020-07-19,5771,4265,1506,0.353106682297773,"MWZ",1,NA,NA
"5","US","US",2020-06-27,2020-07-26,5771,4265,1506,0.353106682297773,"MWZ",1,NA,NA
"6","05","AR",2021-03-06,2021-03-07,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"7","05","AR",2021-03-06,2021-03-14,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"8","05","AR",2021-03-06,2021-03-21,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"9","05","AR",2021-03-06,2021-03-28,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"10","05","AR",2021-03-06,2021-04-04,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"11","05","AR",2021-03-06,2021-04-11,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"12","05","AR",2021-03-06,2021-04-18,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"13","05","AR",2021-03-06,2021-04-25,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"14","05","AR",2021-03-06,2021-05-02,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"15","05","AR",2021-03-06,2021-05-09,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"16","05","AR",2021-03-06,2021-05-16,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"17","05","AR",2021-03-06,2021-05-23,-120,69,189,2.73913043478261,"MWZ;ELR",2,"below 0",NA
"18","10","DE",2020-06-27,2020-07-05,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"19","10","DE",2020-06-27,2020-06-28,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"20","10","DE",2020-06-27,2020-07-12,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"21","10","DE",2020-06-27,2020-07-19,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"22","10","DE",2020-06-27,2020-07-26,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"23","10","DE",2020-06-27,2020-08-02,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"24","10","DE",2020-06-27,2020-08-09,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"25","10","DE",2020-06-27,2020-08-16,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"26","10","DE",2020-06-27,2020-08-23,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"27","10","DE",2020-06-27,2020-08-30,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"28","10","DE",2020-06-27,2020-09-06,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"29","10","DE",2020-06-27,2020-09-13,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"30","10","DE",2020-06-27,2020-09-20,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"31","10","DE",2020-06-27,2020-09-27,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"32","10","DE",2020-06-27,2020-10-04,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"33","10","DE",2020-06-27,2020-10-11,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"34","10","DE",2020-06-27,2020-10-18,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"35","10","DE",2020-06-27,2020-11-01,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"36","10","DE",2020-06-27,2020-11-08,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"37","10","DE",2020-06-27,2020-11-15,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"38","10","DE",2020-06-27,2020-11-22,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"39","10","DE",2020-06-27,2020-11-29,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"40","10","DE",2020-06-27,2020-12-06,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"41","10","DE",2020-06-27,2020-12-13,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"42","10","DE",2020-06-27,2020-12-20,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"43","10","DE",2020-06-27,2020-12-27,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"44","10","DE",2020-06-27,2021-01-03,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"45","10","DE",2020-06-27,2021-01-10,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"46","10","DE",2020-06-27,2021-01-17,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"47","10","DE",2020-06-27,2021-01-24,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"48","10","DE",2020-06-27,2021-01-31,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"49","10","DE",2020-06-27,2021-02-07,73,15,58,3.86666666666667,"MWZ;ELR",2,NA,NA
"50","10","DE",2020-07-25,2020-07-26,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"51","10","DE",2020-07-25,2020-08-02,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"52","10","DE",2020-07-25,2020-08-09,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"53","10","DE",2020-07-25,2020-08-16,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"54","10","DE",2020-07-25,2020-08-23,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"55","10","DE",2020-07-25,2020-08-30,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"56","10","DE",2020-07-25,2020-09-06,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"57","10","DE",2020-07-25,2020-09-13,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"58","10","DE",2020-07-25,2020-09-20,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"59","10","DE",2020-07-25,2020-09-27,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"60","10","DE",2020-07-25,2020-10-04,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"61","10","DE",2020-07-25,2020-10-04,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"62","10","DE",2020-07-25,2020-10-11,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"63","10","DE",2020-07-25,2020-10-18,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"64","10","DE",2020-07-25,2020-11-01,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"65","10","DE",2020-07-25,2020-11-08,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"66","10","DE",2020-07-25,2020-11-15,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"67","10","DE",2020-07-25,2020-11-22,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
"68","10","DE",2020-07-25,2020-11-29,56,6,50,8.33333333333333,"MWZ;ELR",2,NA,NA
