forecast_date,target,target_end_date,location,type,quantile,value
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.01,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.025,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.05,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.1,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.15,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.2,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.25,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.3,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.35,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.4,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.45,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.5,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.55,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.6,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.65,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.7,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.75,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.8,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.85,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.9,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.95,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.975,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,quantile,0.99,0
2022-07-18,1 wk ahead inc death,2022-07-23,02,point,NA,0
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.025,2452.395
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.1,2621.736
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.25,2805.885
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.5,2992.463
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.75,3153.03
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.9,3317.54
2022-07-18,1 wk ahead inc case,2022-07-23,02,quantile,0.975,3756.672
2022-07-18,1 wk ahead inc case,2022-07-23,02,point,NA,2992.463
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.01,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.025,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.05,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.1,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.15,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.2,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.25,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.3,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.35,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.4,0
2022-07-18,2 wk ahead inc death,2022-07-30,02,quantile,0.45,0
