,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,point,NA,545.8571428571429
1,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.01,369.6
2,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.025,373.5
3,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.05,380.0
4,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.1,394.2
5,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.15,409.8
6,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.2,416.4
7,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.25,431.75
8,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.3,462.3
9,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.35,487.35
10,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.4,513.2
11,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.45,543.1
12,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.5,552.0
13,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.55,555.5
14,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.6,562.0
15,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.65,567.1500000000001
16,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.7,580.4
17,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.75,641.5
18,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.8,673.8
19,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.85,689.65
20,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.9,724.1
21,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.95,745.25
22,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.975,750.125
23,2020-06-01,1 day ahead cum death,2020-06-02,11,District of Columbia,quantile,0.99,753.0500000000001
0,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,point,NA,2519.9285714285716
1,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.01,1831.22
2,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.025,1869.0500000000002
3,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.05,1932.1
4,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.1,2001.8000000000002
5,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.15,2005.6999999999998
6,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.2,2013.8
7,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.25,2054.75
8,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.3,2147.7
9,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.35,2239.0
10,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.4,2321.4
11,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.45,2384.45
12,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.5,2457.5
13,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.55,2518.25
14,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.6,2528.0
15,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.65,2670.9500000000003
16,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.7,2852.7
17,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.75,2922.25
18,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.8,3017.4
19,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.85,3127.7999999999997
20,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.9,3229.2000000000003
21,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.95,3302.25
22,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.975,3326.625
23,2020-06-01,1 day ahead cum death,2020-06-02,24,Maryland,quantile,0.99,3341.2499999999995
