location,quantile,type,target,value
US,NA,point,1 day ahead inc,16
US,NA,point,1 wk ahead inc,39
US,NA,point,2 day ahead inc,20
US,NA,point,3 day ahead inc,25
US,NA,point,4 day ahead inc,31
US,NA,point,5 day ahead inc,39
US,NA,point,6 day ahead inc,49
US,0.01,quantile,1 day ahead inc,3
US,0.025,quantile,1 day ahead inc,5
US,0.05,quantile,1 day ahead inc,6
US,0.1,quantile,1 day ahead inc,8
US,0.15,quantile,1 day ahead inc,9
US,0.2,quantile,1 day ahead inc,10
US,0.25,quantile,1 day ahead inc,11
US,0.3,quantile,1 day ahead inc,12
US,0.35,quantile,1 day ahead inc,13
US,0.4,quantile,1 day ahead inc,14
US,0.45,quantile,1 day ahead inc,15
US,0.5,quantile,1 day ahead inc,16
US,0.55,quantile,1 day ahead inc,17
US,0.6,quantile,1 day ahead inc,17
US,0.65,quantile,1 day ahead inc,18
US,0.7,quantile,1 day ahead inc,20
US,0.75,quantile,1 day ahead inc,21
US,0.8,quantile,1 day ahead inc,22
US,0.85,quantile,1 day ahead inc,24
US,0.9,quantile,1 day ahead inc,27
US,0.95,quantile,1 day ahead inc,32
US,0.975,quantile,1 day ahead inc,38
US,0.99,quantile,1 day ahead inc,46
US,0.01,quantile,1 wk ahead inc,8
US,0.025,quantile,1 wk ahead inc,11
US,0.05,quantile,1 wk ahead inc,14
US,0.1,quantile,1 wk ahead inc,18
US,0.15,quantile,1 wk ahead inc,21
US,0.2,quantile,1 wk ahead inc,23
US,0.25,quantile,1 wk ahead inc,26
US,0.3,quantile,1 wk ahead inc,29
US,0.35,quantile,1 wk ahead inc,31
US,0.4,quantile,1 wk ahead inc,34
US,0.45,quantile,1 wk ahead inc,36
US,0.5,quantile,1 wk ahead inc,39
US,0.55,quantile,1 wk ahead inc,42
US,0.6,quantile,1 wk ahead inc,45
US,0.65,quantile,1 wk ahead inc,49
US,0.7,quantile,1 wk ahead inc,53
US,0.75,quantile,1 wk ahead inc,58
US,0.8,quantile,1 wk ahead inc,64
US,0.85,quantile,1 wk ahead inc,72
US,0.9,quantile,1 wk ahead inc,85
US,0.95,quantile,1 wk ahead inc,106
US,0.975,quantile,1 wk ahead inc,130
US,0.99,quantile,1 wk ahead inc,164
US,0.01,quantile,2 day ahead inc,4
US,0.025,quantile,2 day ahead inc,6
US,0.05,quantile,2 day ahead inc,8
US,0.1,quantile,2 day ahead inc,10
US,0.15,quantile,2 day ahead inc,12
US,0.2,quantile,2 day ahead inc,13
US,0.25,quantile,2 day ahead inc,14
US,0.3,quantile,2 day ahead inc,15
US,0.35,quantile,2 day ahead inc,16
US,0.4,quantile,2 day ahead inc,17
US,0.45,quantile,2 day ahead inc,19
US,0.5,quantile,2 day ahead inc,20
US,0.55,quantile,2 day ahead inc,21
US,0.6,quantile,2 day ahead inc,22
US,0.65,quantile,2 day ahead inc,23
US,0.7,quantile,2 day ahead inc,25
US,0.75,quantile,2 day ahead inc,27
US,0.8,quantile,2 day ahead inc,29
US,0.85,quantile,2 day ahead inc,32
US,0.9,quantile,2 day ahead inc,35
US,0.95,quantile,2 day ahead inc,43
US,0.975,quantile,2 day ahead inc,51
US,0.99,quantile,2 day ahead inc,62
US,0.01,quantile,3 day ahead inc,5
US,0.025,quantile,3 day ahead inc,7
US,0.05,quantile,3 day ahead inc,9
US,0.1,quantile,3 day ahead inc,12
US,0.15,quantile,3 day ahead inc,14
US,0.2,quantile,3 day ahead inc,16
US,0.25,quantile,3 day ahead inc,17
US,0.3,quantile,3 day ahead inc,19
US,0.35,quantile,3 day ahead inc,20
US,0.4,quantile,3 day ahead inc,22
US,0.45,quantile,3 day ahead inc,23
US,0.5,quantile,3 day ahead inc,25
US,0.55,quantile,3 day ahead inc,26
US,0.6,quantile,3 day ahead inc,28
US,0.65,quantile,3 day ahead inc,30
US,0.7,quantile,3 day ahead inc,32
US,0.75,quantile,3 day ahead inc,34
US,0.8,quantile,3 day ahead inc,37
US,0.85,quantile,3 day ahead inc,41
US,0.9,quantile,3 day ahead inc,47
US,0.95,quantile,3 day ahead inc,58
US,0.975,quantile,3 day ahead inc,69
US,0.99,quantile,3 day ahead inc,85
US,0.01,quantile,4 day ahead inc,6
US,0.025,quantile,4 day ahead inc,9
US,0.05,quantile,4 day ahead inc,11
US,0.1,quantile,4 day ahead inc,14
US,0.15,quantile,4 day ahead inc,17
US,0.2,quantile,4 day ahead inc,19
US,0.25,quantile,4 day ahead inc,21
US,0.3,quantile,4 day ahead inc,23
US,0.35,quantile,4 day ahead inc,25
US,0.4,quantile,4 day ahead inc,27
US,0.45,quantile,4 day ahead inc,29
US,0.5,quantile,4 day ahead inc,31
US,0.55,quantile,4 day ahead inc,33
US,0.6,quantile,4 day ahead inc,35
US,0.65,quantile,4 day ahead inc,38
US,0.7,quantile,4 day ahead inc,41
US,0.75,quantile,4 day ahead inc,44
US,0.8,quantile,4 day ahead inc,49
US,0.85,quantile,4 day ahead inc,54
US,0.9,quantile,4 day ahead inc,63
US,0.95,quantile,4 day ahead inc,79
US,0.975,quantile,4 day ahead inc,95
US,0.99,quantile,4 day ahead inc,117
US,0.01,quantile,5 day ahead inc,8
US,0.025,quantile,5 day ahead inc,11
US,0.05,quantile,5 day ahead inc,14
US,0.1,quantile,5 day ahead inc,18
US,0.15,quantile,5 day ahead inc,21
US,0.2,quantile,5 day ahead inc,23
US,0.25,quantile,5 day ahead inc,26
US,0.3,quantile,5 day ahead inc,29
US,0.35,quantile,5 day ahead inc,31
US,0.4,quantile,5 day ahead inc,34
US,0.45,quantile,5 day ahead inc,36
US,0.5,quantile,5 day ahead inc,39
US,0.55,quantile,5 day ahead inc,42
US,0.6,quantile,5 day ahead inc,45
US,0.65,quantile,5 day ahead inc,49
US,0.7,quantile,5 day ahead inc,53
US,0.75,quantile,5 day ahead inc,58
US,0.8,quantile,5 day ahead inc,64
US,0.85,quantile,5 day ahead inc,72
US,0.9,quantile,5 day ahead inc,85
US,0.95,quantile,5 day ahead inc,106
US,0.975,quantile,5 day ahead inc,130
US,0.99,quantile,5 day ahead inc,164
US,0.01,quantile,6 day ahead inc,9
US,0.025,quantile,6 day ahead inc,13
US,0.05,quantile,6 day ahead inc,16
US,0.1,quantile,6 day ahead inc,21
US,0.15,quantile,6 day ahead inc,25
US,0.2,quantile,6 day ahead inc,28
US,0.25,quantile,6 day ahead inc,32
US,0.3,quantile,6 day ahead inc,35
US,0.35,quantile,6 day ahead inc,38
