date,location,value
2020-03-13,01,0
2020-03-14,01,0
2020-03-15,01,0
2020-03-16,01,0
2020-03-17,01,0
2020-03-18,01,0
2020-03-19,01,0
2020-03-20,01,0
2020-03-21,01,0
2020-03-22,01,0
2020-03-23,01,0
2020-03-24,01,0
2020-03-25,01,1
2020-03-26,01,2
2020-03-27,01,1
2020-03-28,01,0
2020-03-29,01,1
2020-03-30,01,6
2020-03-31,01,2
2020-04-01,01,15
2020-04-02,01,4
2020-04-03,01,6
2020-04-04,01,6
2020-04-05,01,1
2020-04-06,01,8
2020-04-07,01,11
2020-04-08,01,3
2020-04-09,01,11
2020-04-10,01,2
2020-04-11,01,13
2020-04-12,01,0
2020-04-13,01,11
2020-04-14,01,10
2020-04-15,01,9
2020-04-16,01,14
2020-04-17,01,14
2020-04-18,01,-4
2020-04-19,01,13
2020-04-20,01,4
2020-04-21,01,22
2020-04-22,01,15
2020-04-23,01,-4
2020-04-24,01,12
2020-04-25,01,4
2020-04-26,01,6
2020-04-27,01,9
2020-04-28,01,14
2020-04-29,01,20
2020-04-30,01,10
2020-05-01,01,17
2020-05-02,01,-1
2020-05-03,01,2
2020-03-12,02,0
2020-03-13,02,0
2020-03-14,02,0
2020-03-15,02,0
2020-03-16,02,0
2020-03-17,02,0
2020-03-18,02,0
2020-03-19,02,0
2020-03-20,02,0
2020-03-21,02,0
2020-03-22,02,0
2020-03-23,02,0
2020-03-24,02,0
2020-03-25,02,0
2020-03-26,02,0
2020-03-27,02,1
2020-03-28,02,0
2020-03-29,02,0
2020-03-30,02,1
2020-03-31,02,0
2020-04-01,02,0
2020-04-02,02,0
2020-04-03,02,0
2020-04-04,02,1
2020-04-05,02,1
2020-04-06,02,0
2020-04-07,02,0
2020-04-08,02,1
2020-04-09,02,0
2020-04-10,02,0
2020-04-11,02,1
2020-04-12,02,0
2020-04-13,02,0
2020-04-14,02,1
2020-04-15,02,0
2020-04-16,02,0
2020-04-17,02,0
2020-04-18,02,0
2020-04-19,02,0
2020-04-20,02,0
2020-04-21,02,0
2020-04-22,02,0
2020-04-23,02,0
2020-04-24,02,0
2020-04-25,02,0
2020-04-26,02,0
2020-04-27,02,0
2020-04-28,02,0
2020-04-29,02,0
2020-04-30,02,0
2020-05-01,02,0
2020-05-02,02,0
2020-05-03,02,0
2020-01-26,04,0
2020-01-27,04,0
2020-01-28,04,0
2020-01-29,04,0
2020-01-30,04,0
2020-01-31,04,0
2020-02-01,04,0
2020-02-02,04,0
2020-02-03,04,0
2020-02-04,04,0
2020-02-05,04,0
2020-02-06,04,0
2020-02-07,04,0
2020-02-08,04,0
2020-02-09,04,0
2020-02-10,04,0
2020-02-11,04,0
2020-02-12,04,0
2020-02-13,04,0
2020-02-14,04,0
2020-02-15,04,0
2020-02-16,04,0
2020-02-17,04,0
2020-02-18,04,0
2020-02-19,04,0
2020-02-20,04,0
2020-02-21,04,0
2020-02-22,04,0
2020-02-23,04,0
2020-02-24,04,0
2020-02-25,04,0
2020-02-26,04,0
2020-02-27,04,0
2020-02-28,04,0
2020-02-29,04,0
2020-03-01,04,0
2020-03-02,04,0
2020-03-03,04,0
2020-03-04,04,0
2020-03-05,04,0
